暗	〔日音¦vc〕
肮	〔月几¦li〕
锿	〔钅捺ᴴ¦dh〕
毐	〔士横ᴰ¦gd〕
哀	〔亠捺ᴴ¦ih〕
挨	〔扌大¦jx〕
霭	〔雨折ᴿ¦yr〕
犴	〔犭干¦bs〕
铵	〔钅女¦dy〕
埯	〔土电¦ge〕
安	〔宀女¦iy〕
按	〔扌女¦jy〕
鞍	〔廿女¦vy〕
熬	〔龶灬¦an〕
坳	〔土力¦gu〕
廒	〔广攵¦rj〕
翱	〔白习¦sd〕
暧	〔日又¦vl〕
碍	〔石寸¦tk〕
案	〔宀木¦iw〕
唉	〔口大¦ox〕
敖	〔龶攵¦aj〕
璈	〔王攵¦aj〕
蔼	〔艹折ᴿ¦zr〕
骜	〔龶马¦az〕
遨	〔龶辶¦aq〕
鳌	〔龶鱼¦aq〕
鹌	〔大鸟¦xc〕
螯	〔龶虫¦af〕
嗳	〔口又¦ol〕
鏊	〔龶横ᴰ¦ad〕
嫒	〔女又¦yl〕
聱	〔龶三¦au〕
啊	〔口可¦oj〕
嗌	〔口皿¦oa〕
垵	〔土女¦gy〕
奥	〔撇ᵁ大¦ux〕
嶅	〔龶山¦ap〕
砹	〔石乂¦ty〕
艾	〔艹乂¦zy〕
傲	〔亻攵¦xj〕
哎	〔口乂¦oy〕
矮	〔卧女¦ey〕
埃	〔土大¦gx〕
嗷	〔口攵¦oj〕
俺	〔亻电¦xe〕
凹	〔竖ᵖ横ᴰ¦pd〕
懊	〔忄大¦nx〕
袄	〔衤大¦hx〕
庵	〔广电¦re〕
澳	〔氵大¦kx〕
隘	〔阝皿¦ba〕
癌	〔疒山¦mp〕
桉	〔木女¦wy〕
盎	〔竖ᵖ皿¦pa〕
皑	〔白己¦st〕
鏖	〔广横ᴰ¦rd〕
胺	〔月女¦ly〕
奡	〔横ᴰ竖ᵖ¦dp〕
氨	〔气女¦sy〕
吖	〔口竖ᵖ¦op〕
唵	〔口电¦oe〕
媪	〔女皿¦ya〕
叆	〔二又¦ul〕
欸	〔厶人¦pe〕
腌	〔月电¦le〕
瑷	〔王又¦al〕
卬	〔撇ᵁ卩¦ub〕
岙	〔撇ᵁ山¦up〕
锕	〔钅可¦dj〕
昂	〔日卩¦vb〕
爱	〔爫又¦hl〕
盦	〔全皿¦ea〕
薁	〔艹大¦zx〕
阿	〔阝可¦bj〕
隩	〔阝大¦bx〕
捱	〔扌土¦jg〕
獒	〔龶犬¦ab〕
垇	〔土横ᴰ¦gd〕
揞	〔扌音¦jc〕
啱	〔口石¦ot〕
鿫	〔气大¦sx〕
媕	〔女竖ᵖ¦yp〕
咹	〔口女¦oy〕
岸	〔山干¦ps〕
谙	〔讠音¦cc〕
黯	〔囗音¦nc〕
拗	〔扌力¦ju〕
八	〔八八¦ff〕
捌	〔扌刂¦ji〕
灞	〔氵月¦kl〕
魃	〔鬼捺ᴴ¦sh〕
朳	〔木八¦wf〕
妭	〔女捺ᴴ¦yh〕
髀	〔骨十¦cs〕
殡	〔歹八¦ff〕
斌	〔文止¦jr〕
濒	〔氵贝¦km〕
膑	〔月八¦lf〕
槟	〔木八¦wf〕
彬	〔木撇ᵁ¦wu〕
