# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	7312
#@/user_id	tsbu-jdh
a;bj;ek;tz;ek; 	阿	c=2 d=2.40745e-06 t=7312
a;bj;ek;tz;ek; mi;rf;ge;by;gx; tuo;ba;et;tv;eb; 	阿弥陀	c=1 d=0.12493 t=7312
a;bj;ek;tz;ek; yi;ye;ny;bb;ny; 	阿姨	c=1 d=1.73414e-06 t=7312
a;oj;ka;dz;kk; 	啊	c=2 d=2.95347e-06 t=7312
ai;hl;vy;yr;py; 	爱	c=3 d=3.38944e-06 t=7312
ai;hl;vy;yr;py; qing;nl;xq;hv;xo; 	爱情	c=1 d=1.58106e-07 t=7312
ai;hl;vy;yr;py; wo;uh,ah,ud,ha;pd,pp;tp;pd; 	爱我	c=2 d=3.11196e-06 t=7312
ai;hl;vy;yr;py; xin;nn;dd;hx;dd; 	爱心	c=2 d=2.29449e-06 t=7312
ai;hl;vy;yr;py; yi;dd;aa;fi;aa; ge;ep;ra,pa;jg;rl; gu;yo;ng;bc;nk; niang;yh;nl;bi;nl; 	爱一个姑娘	c=1 d=1.71688e-06 t=7312
ai;ox;ky,ku;do;ku; 	唉	c=1 d=2.4001e-06 t=7312
ai;oy;ka;db;kx; 	哎	c=2 d=2.58319e-06 t=7312
ai;oy;ka;db;kx; ya;ou;ky;dl;ky; 	哎呀	c=1 d=2.42422e-06 t=7312
an;iw;bm,ma;we;bm; jian;xb;rn;jq;rn; 	案件	c=4 d=7.04914e-06 t=7312
an;iw;bm,ma;we;bm; zi;aa;aa,vh;hi;va; 	案子	c=3 d=2.77962e-06 t=7312
an;iy;bn;wb;bn; 	安	c=5 d=0.12621 t=7312
an;iy;bn;wb;bn; mian;sr;om;qd;om; yao;zh;cy;li;cu; 	安眠药	c=1 d=5.77244e-07 t=7312
an;iy;bn;wb;bn; ning;ij;bd;wa;bd; 	安宁	c=2 d=2.55072e-06 t=7312
an;iy;bn;wb;bn; xiang;cp;yy;sg;yy; 	安详	c=1 d=1.44847e-06 t=7312
an;iy;bn;wb;bn; xin;nn;dd;hx;dd; 	安心	c=2 d=6.77022e-06 t=7312
an;jy;fa;ub;fn; 	按	c=6 d=0.0021974 t=7312
an;jy;fa;ub;fn; mo;do,rp,ro;mu,um;zu;gu; 	按摩	c=1 d=3.39711e-05 t=7312
ao;an;ha,hw;ac;fh; 	熬	c=1 d=1.07306e-06 t=7312
ba;ap;sq;yk;ss; 	罢	c=3 d=0.0328588 t=7312
ba;jh;fb,fy;ui;fd; 	拔	c=1 d=2.83066e-06 t=7312
ba;jt;fb;um;fb; 	把	c=1 d=1.88799e-06 t=7312
ba;ot;kb;dm;kb; 	吧	c=4 d=9.11306e-06 t=7312
ba;zt;cb;lm;cb; jiao;zn;cj;lc;ch; 	芭蕉	c=1 d=0.00597602 t=7312
bai;ds;ab;fu;ab; 	百	c=1 d=4.54075e-07 t=7312
bai;ds;ab;fu;ab; nian;es;ra,pa;ev;pl; 	百年	c=3 d=7.14613e-05 t=7312
bai;ss;pa,po;ub;po; 	白	c=3 d=0.00645101 t=7312
bai;ss;pa,po;ub;po; tian;ue;ad;fm;ad; 	白天	c=1 d=1.98e-07 t=7312
bai;ss;pa,po;ub;po; yi;kk;dd;ti;wy; 	白衣	c=1 d=2.99071e-06 t=7312
bai;ss;pa,po;ub;po; yun;up;es,se;by;es; 	白云	c=2 d=2.28823e-06 t=7312
ban;au,aa;dw,ww;nn;ww; che;tt;aa;yc;al; 	班车	c=1 d=1.50007e-06 t=7312
ban;dl;jf;zr;jy; 	钣	c=1 d=2.05548e-06 t=7312
ban;fp,fs;bf;hu;dl; 	半	c=3 d=0.0093433 t=7312
ban;fp,fs;bf;hu;dl; nian;es;ra,pa;ev;pl; 	半年	c=2 d=2.72518e-06 t=7312
ban;fp,fs;bf;hu;dl; shang;vo;ox;od;ok; 	半晌	c=1 d=0.000561443 t=7312
ban;fp,fs;bf;hu;dl; tian;ue;ad;fm;ad; 	半天	c=1 d=2.63929e-06 t=7312
ban;jl;fb;ur;fy; qian;sq;zq;lu;zq; 	搬迁	c=1 d=0.045275 t=7312
ban;tl;vu;ir;vy; 	般	c=4 d=1.22713 t=7312
ban;tl;vu;ir;vy; pei;pt;yj;yv;yj; 	般配	c=3 d=3.2398e-06 t=7312
ban;uf;lb;sh;ld; 	办	c=1 d=2.23784e-06 t=7312
ban;uf;lb;sh;ld; fa;kp;dq;kk;ds; 	办法	c=1 d=0.0544757 t=7312
ban;ul;pf;ar;py; 	版	c=1 d=1.8692e-06 t=7312
bang;cf;yp;sl;yf; 	谤	c=1 d=0.00021605 t=7312
bang;uy;jb;ar;fj; mang;nr;xw;hf;xw; 	帮忙	c=1 d=2.01478e-06 t=7312
bang;uy;jb;ar;fj; zhu;pu;lq,ql;fs;ql; 	帮助	c=1 d=2.62613e-06 t=7312
bang;xf;rp;jl;rf; wan;vk;om;op;ov; 	傍晚	c=1 d=2.76745e-05 t=7312
bao;ia,ih;by;wi;by; 	宝	c=2 d=0.00429665 t=7312
bao;jl;fy;ur;fy; 	报	c=9 d=0.0850573 t=7312
bao;jl;fy;ur;fy; zhi;er;su;ib;su; 	报纸	c=2 d=3.53659e-06 t=7312
bao;jt;fb;uv;fs; 	抱	c=3 d=0.0223871 t=7312
bao;jt;fb;uv;fs; zhe;fs;yo;gq;yo; 	抱着	c=2 d=0.0182727 t=7312
bao;jt;fb;uv;fs; zhu;xa,xg;rv;jn;rv; 	抱住	c=1 d=9.37546e-07 t=7312
bao;lt;ob;vv;os; 	胞	c=1 d=1.16243e-06 t=7312
bao;to;hb;ck;hu; fa;rh;ay,fd,vy,yd;si;vd; 	爆发	c=1 d=4.4279e-05 t=7312
bao;ut;gs;nv;bs; 	包	c=1 d=1.43406e-06 t=7312
bao;ut;gs;nv;bs; rong;io;bg;wh;bk; 	包容	c=0 d=2.78852e-07 t=7312
bao;ut;gs;nv;bs; rong;io;bg;wh;bk; wo;uh,ah,ud,ha;pd,pp;tp;pd; 	包容我	c=1 d=2.8025e-06 t=7312
bao;ut;gs;nv;bs; wei;np;kw;rg;kw; zhe;fs;yo;gq;yo; 	包围着	c=1 d=2.24906e-06 t=7312
bao;xw;rd;je;rm; 	保	c=1 d=0.00017956 t=7312
bao;xw;rd;je;rm; chi;jk;fs;uk;fc; 	保持	c=2 d=3.33846e-06 t=7312
bao;xw;rd;je;rm; cun;sa;uz,za;nh;uz; 	保存	c=2 d=6.69469e-06 t=7312
bao;xw;rd;je;rm; hu;jq;fh;um;fh; 	保护	c=1 d=1.58488e-06 t=7312
bao;xw;rd;je;rm; xian;bd;ea,eq;tf;ea; 	保险	c=3 d=5.71264e-07 t=7312
